ParentLocationCode,SpatialDim,NumericValue,TimeDim,IndicatorCode
AFR,MRT,129.35083,2019,AIR_4
AFR,CMR,2248.43634,2019,AIR_4
AMR,MEX,236.70066,2019,AIR_4
AMR,SUR,0.60875,2019,AIR_4
AFR,DZA,174.6407,2019,AIR_4
WPR,IDN,932.80875,2019,AIR_4
EUR,SRB,3.0879,2019,AIR_4
SEAR,BTN,5.36002,2019,AIR_4
SEAR,LKA,26.18197,2019,AIR_4
AFR,GHA,397.4059,2019,AIR_4
EUR,MLT,0.0524,2019,AIR_4
EUR,SVN,0.03126,2019,AIR_4
AFR,BDI,359.80862,2019,AIR_4
EMR,SOM,726.55994,2019,AIR_4
AMR,ARG,19.91614,2019,AIR_4
WPR,MNG,37.72172,2019,AIR_4
EUR,LUX,0.03135,2019,AIR_4
WPR,CHN,2563.33984,2019,AIR_4
EUR,ALB,3.449,2019,AIR_4
EUR,UZB,188.09488,2019,AIR_4
EUR,LUX,0.01813,2019,AIR_4
AMR,GTM,143.0141,2019,AIR_4
AMR,VCT,0.16141,2019,AIR_4
AFR,COD,4014.95948,2019,AIR_4
AFR,LSO,33.75839,2019,AIR_4
EUR,TKM,59.63021,2019,AIR_4
EUR,DNK,0.04958,2019,AIR_4
EMR,JOR,63.67064,2019,AIR_4
EUR,LVA,0.27004,2019,AIR_4
AFR,RWA,198.1138,2019,AIR_4
WPR,FJI,1.83341,2019,AIR_4
EMR,SAU,21.87627,2019,AIR_4
WPR,PHL,779.50333,2019,AIR_4
AMR,NIC,44.53441,2019,AIR_4
WPR,LAO,183.85643,2019,AIR_4
AFR,BFA,1763.2617,2019,AIR_4
SEAR,IND,11129.01659,2019,AIR_4
AMR,ARG,14.93785,2019,AIR_4
AMR,CUB,3.27346,2019,AIR_4
WPR,PNG,50.34709,2019,AIR_4
AFR,GNB,96.40604,2019,AIR_4
EUR,BIH,0.71144,2019,AIR_4
WPR,SGP,0.50819,2019,AIR_4
SEAR,MDV,0.21001,2019,AIR_4
EMR,SAU,24.60809,2019,AIR_4
EMR,ARE,7.89728,2019,AIR_4
SEAR,BGD,1031.16899,2019,AIR_4
EMR,TUN,36.3115,2019,AIR_4
EUR,BLR,1.01411,2019,AIR_4
WPR,FJI,2.1592,2019,AIR_4
AFR,LBR,178.61022,2019,AIR_4
EMR,AFG,2154.64204,2019,AIR_4
SEAR,PRK,97.65509,2019,AIR_4
AFR,GHA,933.20895,2019,AIR_4
EUR,CHE,0.16733,2019,AIR_4
EUR,RUS,31.42168,2019,AIR_4
SEAR,THA,55.93962,2019,AIR_4
AFR,COM,18.47449,2019,AIR_4
EMR,MAR,81.68149,2019,AIR_4
