ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
AMR,PAN,SEX_BTSX,5,5.0,2023-12-07T16:49:02+01:00,Adult_curr_tob_use
AFR,GAB,SEX_BTSX,Data not available,,2023-12-07T16:49:36+01:00,Adult_curr_tob_use
AFR,ZWE,SEX_FMLE,Data not available,,2023-12-07T16:49:36+01:00,Adult_curr_tob_use
WPR,PNG,SEX_BTSX,Data not available,,2023-12-07T16:49:34+01:00,Adult_curr_tob_use
EMR,ARE,SEX_BTSX,9.3,9.3,2023-12-07T16:49:03+01:00,Adult_curr_tob_use
AMR,SLV,SEX_FMLE,3.3,3.3,2023-12-07T16:49:01+01:00,Adult_curr_tob_use
AMR,URY,SEX_FMLE,Data not available,,2023-12-07T16:49:34+01:00,Adult_curr_tob_use
EUR,BGR,SEX_MLE,Data not available,,2023-12-07T16:49:38+01:00,Adult_curr_tob_use
WPR,PHL,SEX_MLE,34.7,34.7,2023-12-07T16:49:00+01:00,Adult_curr_tob_use
AFR,BWA,SEX_BTSX,17.6,17.6,2023-12-07T16:49:03+01:00,Adult_curr_tob_use
AMR,PRY,SEX_FMLE,4.4,4.4,2023-12-07T16:49:02+01:00,Adult_curr_tob_use
AFR,LSO,SEX_BTSX,Data not available,,2023-12-07T16:49:33+01:00,Adult_curr_tob_use
AMR,BOL,SEX_FMLE,5.8,5.8,2023-12-07T16:49:04+01:00,Adult_curr_tob_use
AMR,PAN,SEX_MLE,8.1,8.1,2023-12-07T16:49:02+01:00,Adult_curr_tob_use
AFR,ZMB,SEX_FMLE,2.7,2.7,2023-12-07T16:49:02+01:00,Adult_curr_tob_use
WPR,VNM,SEX_MLE,Data not available,,2023-12-07T16:49:34+01:00,Adult_curr_tob_use
EUR,EST,SEX_FMLE,Data not available,,2023-12-07T16:49:35+01:00,Adult_curr_tob_use
AFR,AGO,SEX_FMLE,1.9,1.9,2023-12-07T16:49:03+01:00,Adult_curr_tob_use
AMR,TTO,SEX_FMLE,9.6,9.6,2023-12-07T16:49:01+01:00,Adult_curr_tob_use
WPR,MNG,SEX_FMLE,5.6,5.6,2023-12-07T16:49:03+01:00,Adult_curr_tob_use
AFR,SYC,SEX_FMLE,8,8.0,2023-12-07T16:49:01+01:00,Adult_curr_tob_use
AFR,ZAF,SEX_MLE,41.7,41.7,2023-12-07T16:49:04+01:00,Adult_curr_tob_use
WPR,NZL,SEX_MLE,Data not available,,2023-12-07T16:49:37+01:00,Adult_curr_tob_use
EMR,IRN,SEX_MLE,Data not available,,2023-12-07T16:49:38+01:00,Adult_curr_tob_use
EUR,TKM,SEX_BTSX,3.6,3.6,2023-12-07T16:49:02+01:00,Adult_curr_tob_use
AFR,ETH,SEX_MLE,8.1,8.1,2023-12-07T16:49:03+01:00,Adult_curr_tob_use
AMR,ECU,SEX_FMLE,4,4.0,2023-12-07T16:49:02+01:00,Adult_curr_tob_use
EMR,AFG,SEX_MLE,45,45.0,2023-12-07T16:48:59+01:00,Adult_curr_tob_use
EMR,QAT,SEX_BTSX,12.5,12.5,2023-12-07T16:49:04+01:00,Adult_curr_tob_use
EMR,PAK,SEX_BTSX,Data not available,,2023-12-07T16:49:37+01:00,Adult_curr_tob_use
EUR,NLD,SEX_MLE,Data not available,,2023-12-07T16:49:37+01:00,Adult_curr_tob_use
AMR,USA,SEX_FMLE,Data not available,,2023-12-07T16:49:34+01:00,Adult_curr_tob_use
AMR,BOL,SEX_BTSX,17.8,17.8,2023-12-07T16:49:04+01:00,Adult_curr_tob_use
AMR,SUR,SEX_FMLE,Data not available,,2023-12-07T16:49:34+01:00,Adult_curr_tob_use
AMR,ECU,SEX_MLE,23.8,23.8,2023-12-07T16:49:02+01:00,Adult_curr_tob_use
WPR,IDN,SEX_FMLE,3.3,3.3,2023-12-07T16:48:59+01:00,Adult_curr_tob_use
EUR,HUN,SEX_FMLE,Data not available,,2023-12-07T16:49:33+01:00,Adult_curr_tob_use
