ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
EMR,LBY,SEX_BTSX,1 221 000,1221000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AFR,KEN,SEX_BTSX,2 388 000,2388000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EUR,LTU,SEX_BTSX,654 000,654000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EUR,SRB,SEX_MLE,1 322 000,1322000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EUR,IRL,SEX_MLE,426 000,426000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EUR,LUX,SEX_MLE,59 000,59000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AFR,UGA,SEX_FMLE,250 000,250000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AMR,ARG,SEX_MLE,5 024 000,5024000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EUR,GEO,SEX_BTSX,990 000,990000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EMR,EGY,SEX_BTSX,18 086 000,18086000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AFR,ZAF,SEX_MLE,7 956 000,7956000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EMR,MAR,SEX_BTSX,3 799 000,3799000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EUR,ARM,SEX_FMLE,24 000,24000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AFR,TCD,SEX_MLE,412 000,412000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
WPR,VUT,SEX_MLE,33 000,33000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AFR,GHA,SEX_MLE,428 000,428000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EUR,ITA,SEX_BTSX,10 952 000,10952000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EMR,TUN,SEX_MLE,2 056 000,2056000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
WPR,TUV,SEX_BTSX,3000,3000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EUR,KGZ,SEX_MLE,752 000,752000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AFR,MUS,SEX_FMLE,16 000,16000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AFR,CMR,SEX_BTSX,919 000,919000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AFR,GNB,SEX_MLE,87 000,87000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AFR,GAB,SEX_FMLE,18 000,18000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
WPR,KOR,SEX_FMLE,1 227 000,1227000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EMR,EGY,SEX_MLE,17 942 000,17942000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EUR,CHE,SEX_FMLE,741 000,741000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
WPR,SGP,SEX_BTSX,707 000,707000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EMR,KWT,SEX_MLE,672 000,672000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
EMR,SAU,SEX_BTSX,4 298 000,4298000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
AFR,ETH,SEX_FMLE,360 000,360000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
WPR,VNM,SEX_MLE,13 515 000,13515000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
SEAR,TLS,SEX_FMLE,15 000,15000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
WPR,VUT,SEX_FMLE,4000,4000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
WPR,SGP,SEX_FMLE,121 000,121000.0,2026-01-15T19:27:58.963+01:00,M_Est_smk_curr_users
