ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
AFR,SEN,SEX_MLE,11.3 [9.3-13.3],11.3,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,DZA,SEX_BTSX,22.8 [16.2-29.4],22.8,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EMR,KWT,SEX_MLE,40.2 [31.9-48.6],40.2,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,RUS,SEX_FMLE,15.5 [12.8-18.2],15.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,KAZ,SEX_FMLE,6.7 [5.3-8.1],6.7,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,SYC,SEX_FMLE,8.8 [6.4-11.1],8.8,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,AUT,SEX_FMLE,41.5 [31.2-51.7],41.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,MUS,SEX_BTSX,22.6 [18.3-26.8],22.6,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,UGA,SEX_MLE,10.5 [8.6-12.5],10.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AMR,GUY,SEX_MLE,23.5 [17.6-29.4],23.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,GHA,SEX_FMLE,1.1 [0.5-1.6],1.1,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
WPR,KHM,SEX_BTSX,22.8 [18.8-26.9],22.8,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,TKM,SEX_FMLE,0.5 [0.3-0.7],0.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,BEL,SEX_MLE,24.5 [20.0-28.9],24.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EMR,OMN,SEX_FMLE,0.4 [0.2-0.6],0.4,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EMR,AFG,SEX_MLE,37.2 [25.6-48.7],37.2,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,ESP,SEX_MLE,36.9 [30.5-43.3],36.9,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,SVN,SEX_BTSX,20.6 [17.3-23.9],20.6,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,FIN,SEX_MLE,26.1 [21.2-31.0],26.1,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,BIH,SEX_BTSX,35.6 [21.1-50.1],35.6,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,COM,SEX_FMLE,2.1 [1.4-2.7],2.1,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AMR,BRA,SEX_BTSX,22.7 [17.9-27.4],22.7,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,GBR,SEX_MLE,38.5 [31.2-45.7],38.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EMR,LBY,SEX_BTSX,37.7 [24.3-51.0],37.7,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,KEN,SEX_MLE,18.6 [15.6-21.5],18.6,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
WPR,SGP,SEX_MLE,29.2 [23.8-34.6],29.2,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,AUT,SEX_MLE,52.5 [39.2-65.8],52.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
SEAR,IND,SEX_BTSX,39.3 [31.9-46.8],39.3,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EMR,LBN,SEX_FMLE,40.8 [30.3-51.2],40.8,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
WPR,CHN,SEX_MLE,47.3 [38.2-56.4],47.3,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,SWZ,SEX_MLE,19.0 [13.4-24.6],19.0,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AMR,COL,SEX_FMLE,6.5 [4.7-8.4],6.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,ZMB,SEX_BTSX,12.4 [9.5-15.3],12.4,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
SEAR,TLS,SEX_FMLE,17.5 [9.7-25.4],17.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,STP,SEX_FMLE,1.9 [1.0-2.7],1.9,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,STP,SEX_BTSX,6.7 [5.3-8.2],6.7,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,SYC,SEX_BTSX,24.2 [18.7-29.7],24.2,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,UKR,SEX_BTSX,21.7 [17.0-26.4],21.7,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,UKR,SEX_FMLE,8.0 [6.2-9.8],8.0,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,LSO,SEX_BTSX,24.6 [20.0-29.1],24.6,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
SEAR,TLS,SEX_BTSX,47.4 [36.0-58.9],47.4,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,FIN,SEX_MLE,23.1 [18.8-27.4],23.1,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
WPR,MHL,SEX_BTSX,30.6 [23.7-37.6],30.6,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
WPR,VNM,SEX_BTSX,28.6 [22.7-34.4],28.6,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
EUR,ESP,SEX_BTSX,22.0 [17.4-26.6],22.0,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
AFR,DZA,SEX_MLE,41.5 [28.6-54.4],41.5,2026-01-15T18:01:21.65+01:00,M_Est_tob_curr
