ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
,WPR,SEX_MLE,47.8 [44.6-51.2],47.8,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
,EUR,SEX_FMLE,22.3 [20.6-24.2],22.3,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
SEAR,BTN,SEX_MLE,28.3 [20.7-35.8],28.3,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,CPV,SEX_MLE,17.5 [13.2-21.8],17.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,NER,SEX_FMLE,0.9 [0.3-1.5],0.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,DNK,SEX_FMLE,17.2 [14.3-20.1],17.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,GNB,SEX_FMLE,1.5 [0.7-2.2],1.5,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EUR,ROU,SEX_FMLE,21.0 [16.4-25.6],21.0,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,KOR,SEX_FMLE,5.6 [4.3-6.9],5.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,ZAF,SEX_BTSX,24.1 [17.2-31.0],24.1,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,LBR,SEX_BTSX,4.9 [3.2-6.7],4.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
EMR,QAT,SEX_FMLE,4.2 [1.1-7.3],4.2,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,DZA,SEX_MLE,43.9 [31.6-56.2],43.9,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
,GLOBAL,SEX_BTSX,20.3 [18.7-22.1],20.3,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,NRU,SEX_MLE,45.3 [36.1-54.5],45.3,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
AFR,MUS,SEX_BTSX,17.7 [12.8-22.5],17.7,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
WPR,WSM,SEX_BTSX,22.6 [14.6-30.6],22.6,2026-01-15T18:43:44.287+01:00,M_Est_tob_curr_std
