ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
EUR,KGZ,SEX_MLE,951 000,951000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
EUR,ISR,SEX_MLE,850 000,850000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
AFR,TZA,SEX_BTSX,2 394 000,2394000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
AMR,USA,SEX_BTSX,45 543 000,45543000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
AFR,ETH,SEX_MLE,2 733 000,2733000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
SEAR,BGD,SEX_BTSX,37 180 000,37180000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
EUR,RUS,SEX_FMLE,8 123 000,8123000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
SEAR,MDV,SEX_BTSX,128 000,128000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
AFR,ZWE,SEX_BTSX,865 000,865000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
EMR,TUN,SEX_MLE,2 193 000,2193000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
SEAR,MMR,SEX_BTSX,16 966 000,16966000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
EMR,QAT,SEX_BTSX,395 000,395000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
EMR,PAK,SEX_MLE,22 936 000,22936000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
AMR,GUY,SEX_FMLE,5000,5000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
AFR,MWI,SEX_BTSX,840 000,840000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
EUR,MDA,SEX_BTSX,616 000,616000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
EUR,BIH,SEX_FMLE,373 000,373000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
AFR,GMB,SEX_MLE,146 000,146000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
WPR,WSM,SEX_FMLE,9000,9000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
AMR,HTI,SEX_BTSX,565 000,565000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
AFR,BEN,SEX_BTSX,480 000,480000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
WPR,KIR,SEX_FMLE,14 000,14000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
EUR,BGR,SEX_BTSX,2 028 000,2028000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
EMR,ARE,SEX_FMLE,67 000,67000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
SEAR,MMR,SEX_MLE,12 764 000,12764000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
EUR,ESP,SEX_FMLE,4 596 000,4596000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
WPR,NZL,SEX_BTSX,723 000,723000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
AFR,CMR,SEX_FMLE,91 000,91000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
WPR,VUT,SEX_BTSX,42 000,42000.0,2026-01-15T19:27:58.963+01:00,M_Est_tob_curr_users
