ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
AMR,BLZ,,No,,2022-04-25T15:23:42+02:00,NCD_CCS_CHOL_SVY
WPR,VNM,,Yes,,2022-04-25T15:23:45+02:00,NCD_CCS_CHOL_SVY
AMR,NIC,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
AFR,SEN,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
EUR,NOR,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
EMR,DJI,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
WPR,NIU,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
EMR,EGY,,Yes,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
AFR,TCD,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
WPR,BRN,,No,,2022-04-25T15:23:42+02:00,NCD_CCS_CHOL_SVY
EUR,ROU,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
EUR,GBR,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
EMR,BHR,,Yes,,2022-04-25T15:23:42+02:00,NCD_CCS_CHOL_SVY
EUR,PRT,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
EUR,ARM,,Yes,,2022-04-25T15:23:42+02:00,NCD_CCS_CHOL_SVY
WPR,VUT,,No,,2022-04-25T15:23:45+02:00,NCD_CCS_CHOL_SVY
WPR,WSM,,No,,2022-04-25T15:23:45+02:00,NCD_CCS_CHOL_SVY
AMR,LCA,,Yes,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
AMR,DOM,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
AMR,BOL,,No,,2022-04-25T15:23:42+02:00,NCD_CCS_CHOL_SVY
AMR,PER,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
AFR,ETH,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
AFR,GNQ,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
EUR,MLT,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
AMR,VCT,,No,,2022-04-25T15:23:45+02:00,NCD_CCS_CHOL_SVY
EUR,SVK,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
EMR,PAK,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
EUR,SMR,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
EUR,SVN,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
AMR,CUB,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
AMR,BRB,,No,,2022-04-25T15:23:42+02:00,NCD_CCS_CHOL_SVY
AMR,PRY,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
EUR,AUT,,No,,2022-04-25T15:23:42+02:00,NCD_CCS_CHOL_SVY
AFR,NER,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
EUR,CHE,,Yes,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
WPR,PHL,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
AMR,URY,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
AFR,BDI,,No,,2022-04-25T15:23:42+02:00,NCD_CCS_CHOL_SVY
AMR,PAN,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
AFR,MDG,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
AFR,GIN,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
AMR,GUY,,Yes,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
WPR,PLW,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
WPR,AUS,,No,,2022-04-25T15:23:42+02:00,NCD_CCS_CHOL_SVY
EUR,ITA,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
EUR,LTU,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
AFR,GAB,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
AMR,ARG,,Yes,,2022-04-25T15:23:42+02:00,NCD_CCS_CHOL_SVY
AFR,SLE,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
AFR,STP,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
WPR,KIR,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
EUR,MKD,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
AMR,ECU,,Yes,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
WPR,SGP,,Yes,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
WPR,CHN,,Yes,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
WPR,JPN,,Yes,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
AFR,LBR,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
SEAR,MMR,,No,,2022-04-25T15:23:44+02:00,NCD_CCS_CHOL_SVY
AFR,ERI,,No,,2022-04-25T15:23:43+02:00,NCD_CCS_CHOL_SVY
