ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
WPR,WSM,SEX_FMLE,1.2 [1.1-1.3],1.2,2021-06-21T19:00:30+02:00,NCD_CHOL_MEANHDL_A
AMR,GUY,SEX_BTSX,1.3 [1.2-1.4],1.3,2021-06-21T19:09:42+02:00,NCD_CHOL_MEANHDL_A
EUR,MNE,SEX_FMLE,1.4 [1.2-1.6],1.4,2021-06-21T18:59:59+02:00,NCD_CHOL_MEANHDL_A
AMR,BLZ,SEX_BTSX,1.2 [1.1-1.3],1.2,2021-06-21T19:07:45+02:00,NCD_CHOL_MEANHDL_A
WPR,BRN,SEX_FMLE,1.2 [1.0-1.3],1.2,2021-06-21T18:58:37+02:00,NCD_CHOL_MEANHDL_A
AMR,GUY,SEX_BTSX,1.2 [1.1-1.4],1.2,2021-06-21T19:07:54+02:00,NCD_CHOL_MEANHDL_A
EUR,GBR,SEX_BTSX,1.3 [1.3-1.4],1.3,2021-06-21T19:08:01+02:00,NCD_CHOL_MEANHDL_A
AMR,VEN,SEX_FMLE,1.1 [1.0-1.2],1.1,2021-06-21T19:01:07+02:00,NCD_CHOL_MEANHDL_A
AFR,NGA,SEX_MLE,1.0 [0.7-1.2],1.0,2021-06-21T18:40:21+02:00,NCD_CHOL_MEANHDL_A
WPR,VNM,SEX_FMLE,1.1 [1.0-1.3],1.1,2021-06-21T19:01:08+02:00,NCD_CHOL_MEANHDL_A
WPR,NRU,SEX_MLE,0.9 [0.7-1.2],0.9,2021-06-21T18:40:16+02:00,NCD_CHOL_MEANHDL_A
EUR,ITA,SEX_FMLE,1.4 [1.3-1.5],1.4,2021-06-21T18:59:32+02:00,NCD_CHOL_MEANHDL_A
EMR,QAT,SEX_BTSX,1.1 [0.9-1.2],1.1,2021-06-21T19:07:35+02:00,NCD_CHOL_MEANHDL_A
SEAR,MDV,SEX_BTSX,1.1 [1.0-1.2],1.1,2021-06-21T19:08:11+02:00,NCD_CHOL_MEANHDL_A
AFR,CPV,SEX_FMLE,1.1 [0.9-1.4],1.1,2021-06-21T18:58:41+02:00,NCD_CHOL_MEANHDL_A
AFR,SWZ,SEX_BTSX,1.2 [1.1-1.3],1.2,2021-06-21T19:08:09+02:00,NCD_CHOL_MEANHDL_A
EUR,IRL,SEX_FMLE,1.5 [1.4-1.6],1.5,2021-06-21T18:59:31+02:00,NCD_CHOL_MEANHDL_A
EMR,SYR,SEX_FMLE,1.2 [1.0-1.4],1.2,2021-06-21T19:00:49+02:00,NCD_CHOL_MEANHDL_A
AFR,UGA,SEX_MLE,1.1 [0.9-1.3],1.1,2021-06-21T18:41:09+02:00,NCD_CHOL_MEANHDL_A
AFR,MRT,SEX_BTSX,1.1 [0.9-1.3],1.1,2021-06-21T19:08:11+02:00,NCD_CHOL_MEANHDL_A
EUR,BGR,SEX_BTSX,1.4 [1.2-1.5],1.4,2021-06-21T19:07:24+02:00,NCD_CHOL_MEANHDL_A
EMR,YEM,SEX_BTSX,1.1 [0.9-1.4],1.1,2021-06-21T19:07:03+02:00,NCD_CHOL_MEANHDL_A
AFR,GHA,SEX_BTSX,1.2 [1.1-1.3],1.2,2021-06-21T19:09:42+02:00,NCD_CHOL_MEANHDL_A
EUR,KAZ,SEX_BTSX,1.1 [1.0-1.3],1.1,2021-06-21T19:07:29+02:00,NCD_CHOL_MEANHDL_A
EUR,ARM,SEX_FMLE,1.1 [0.9-1.3],1.1,2021-06-21T18:58:21+02:00,NCD_CHOL_MEANHDL_A
EUR,TJK,SEX_BTSX,1.1 [1.0-1.2],1.1,2021-06-21T19:08:43+02:00,NCD_CHOL_MEANHDL_A
AMR,GUY,SEX_BTSX,1.3 [1.2-1.4],1.3,2021-06-21T19:09:38+02:00,NCD_CHOL_MEANHDL_A
EUR,MKD,SEX_BTSX,1.4 [1.2-1.5],1.4,2021-06-21T19:07:18+02:00,NCD_CHOL_MEANHDL_A
AFR,ERI,SEX_FMLE,1.1 [0.8-1.4],1.1,2021-06-21T18:59:06+02:00,NCD_CHOL_MEANHDL_A
EMR,AFG,SEX_BTSX,1.1 [1.0-1.3],1.1,2021-06-21T19:08:13+02:00,NCD_CHOL_MEANHDL_A
WPR,WSM,SEX_BTSX,1.2 [1.0-1.4],1.2,2021-06-21T19:07:02+02:00,NCD_CHOL_MEANHDL_A
EUR,NLD,SEX_FMLE,1.5 [1.3-1.6],1.5,2021-06-21T19:00:05+02:00,NCD_CHOL_MEANHDL_A
AFR,ETH,SEX_BTSX,1.1 [0.9-1.3],1.1,2021-06-21T19:07:33+02:00,NCD_CHOL_MEANHDL_A
WPR,NZL,SEX_BTSX,1.4 [1.3-1.5],1.4,2021-06-21T19:09:35+02:00,NCD_CHOL_MEANHDL_A
EUR,ROU,SEX_MLE,1.3 [1.2-1.4],1.3,2021-06-21T18:40:34+02:00,NCD_CHOL_MEANHDL_A
