ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
WPR,MHL,SEX_FMLE,3.8 [3.6-3.9],3.8,2021-06-21T18:53:57+02:00,NCD_CHOL_MEANNONHDL_A
AFR,DZA,SEX_BTSX,3.5 [3.3-3.6],3.5,2021-06-21T19:06:22+02:00,NCD_CHOL_MEANNONHDL_A
AMR,DMA,SEX_MLE,3.4 [3.1-3.7],3.4,2021-06-21T18:33:31+02:00,NCD_CHOL_MEANNONHDL_A
AMR,HND,SEX_BTSX,3.9 [3.7-4.0],3.9,2021-06-21T19:05:42+02:00,NCD_CHOL_MEANNONHDL_A
WPR,SGP,SEX_BTSX,3.9 [3.8-4.1],3.9,2021-06-21T19:05:15+02:00,NCD_CHOL_MEANNONHDL_A
EUR,CHE,SEX_BTSX,4.6 [4.5-4.7],4.6,2021-06-21T19:04:59+02:00,NCD_CHOL_MEANNONHDL_A
EUR,TKM,SEX_BTSX,3.3 [3.2-3.5],3.3,2021-06-21T19:05:57+02:00,NCD_CHOL_MEANNONHDL_A
WPR,TUV,SEX_BTSX,3.7 [3.6-3.9],3.7,2021-06-21T19:04:59+02:00,NCD_CHOL_MEANNONHDL_A
EMR,BHR,SEX_MLE,3.5 [3.2-3.7],3.5,2021-06-21T18:32:58+02:00,NCD_CHOL_MEANNONHDL_A
AMR,DOM,SEX_FMLE,3.5 [3.3-3.7],3.5,2021-06-21T18:53:08+02:00,NCD_CHOL_MEANNONHDL_A
AFR,GMB,SEX_MLE,2.6 [2.3-3.0],2.6,2021-06-21T18:33:45+02:00,NCD_CHOL_MEANNONHDL_A
AFR,NAM,SEX_BTSX,2.7 [2.5-2.9],2.7,2021-06-21T19:05:31+02:00,NCD_CHOL_MEANNONHDL_A
WPR,JPN,SEX_FMLE,3.5 [3.4-3.6],3.5,2021-06-21T18:53:38+02:00,NCD_CHOL_MEANNONHDL_A
EUR,POL,SEX_FMLE,3.8 [3.7-4.0],3.8,2021-06-21T18:54:23+02:00,NCD_CHOL_MEANNONHDL_A
AMR,CRI,SEX_FMLE,4.0 [3.9-4.1],4.0,2021-06-21T18:53:00+02:00,NCD_CHOL_MEANNONHDL_A
AMR,PAN,SEX_FMLE,3.7 [3.4-3.9],3.7,2021-06-21T18:54:19+02:00,NCD_CHOL_MEANNONHDL_A
EUR,SVN,SEX_BTSX,3.8 [3.6-4.0],3.8,2021-06-21T19:06:13+02:00,NCD_CHOL_MEANNONHDL_A
AMR,MEX,SEX_BTSX,3.8 [3.8-3.9],3.8,2021-06-21T19:06:20+02:00,NCD_CHOL_MEANNONHDL_A
EUR,FIN,SEX_BTSX,4.3 [4.3-4.4],4.3,2021-06-21T19:05:01+02:00,NCD_CHOL_MEANNONHDL_A
EUR,AND,SEX_MLE,4.1 [3.9-4.4],4.1,2021-06-21T18:32:49+02:00,NCD_CHOL_MEANNONHDL_A
AFR,CPV,SEX_MLE,2.5 [2.2-2.9],2.5,2021-06-21T18:33:13+02:00,NCD_CHOL_MEANNONHDL_A
,AMR,SEX_MLE,3.8 [3.7-3.8],3.8,2021-06-21T17:35:24+02:00,NCD_CHOL_MEANNONHDL_A
WPR,MYS,SEX_MLE,4.1 [3.9-4.2],4.1,2021-06-21T18:34:21+02:00,NCD_CHOL_MEANNONHDL_A
WPR,NZL,SEX_FMLE,4.3 [4.2-4.5],4.3,2021-06-21T18:54:10+02:00,NCD_CHOL_MEANNONHDL_A
AFR,GAB,SEX_BTSX,3.0 [2.8-3.2],3.0,2021-06-21T19:06:11+02:00,NCD_CHOL_MEANNONHDL_A
AMR,PER,SEX_FMLE,3.6 [3.3-3.8],3.6,2021-06-21T18:54:21+02:00,NCD_CHOL_MEANNONHDL_A
WPR,MHL,SEX_FMLE,3.9 [3.6-4.1],3.9,2021-06-21T18:53:56+02:00,NCD_CHOL_MEANNONHDL_A
EUR,ALB,SEX_FMLE,3.6 [3.3-3.9],3.6,2021-06-21T18:52:29+02:00,NCD_CHOL_MEANNONHDL_A
AFR,MOZ,SEX_FMLE,2.6 [2.3-3.0],2.6,2021-06-21T18:54:05+02:00,NCD_CHOL_MEANNONHDL_A
EMR,LBN,SEX_MLE,4.1 [3.9-4.3],4.1,2021-06-21T18:34:13+02:00,NCD_CHOL_MEANNONHDL_A
AFR,BEN,SEX_BTSX,2.9 [2.7-3.1],2.9,2021-06-21T19:06:39+02:00,NCD_CHOL_MEANNONHDL_A
WPR,FSM,SEX_BTSX,3.6 [3.5-3.8],3.6,2021-06-21T19:05:43+02:00,NCD_CHOL_MEANNONHDL_A
EUR,TKM,SEX_MLE,3.3 [3.1-3.5],3.3,2021-06-21T18:35:25+02:00,NCD_CHOL_MEANNONHDL_A
WPR,JPN,SEX_FMLE,3.4 [3.4-3.5],3.4,2021-06-21T18:53:38+02:00,NCD_CHOL_MEANNONHDL_A
EUR,MNE,SEX_FMLE,3.8 [3.6-4.1],3.8,2021-06-21T18:54:03+02:00,NCD_CHOL_MEANNONHDL_A
EUR,TKM,SEX_MLE,3.3 [3.0-3.6],3.3,2021-06-21T18:35:24+02:00,NCD_CHOL_MEANNONHDL_A
EUR,AZE,SEX_BTSX,3.3 [3.1-3.4],3.3,2021-06-21T19:06:10+02:00,NCD_CHOL_MEANNONHDL_A
EUR,IRL,SEX_FMLE,3.9 [3.6-4.1],3.9,2021-06-21T18:53:35+02:00,NCD_CHOL_MEANNONHDL_A
SEAR,BGD,SEX_MLE,3.0 [2.7-3.4],3.0,2021-06-21T18:32:58+02:00,NCD_CHOL_MEANNONHDL_A
EUR,TKM,SEX_BTSX,3.3 [3.1-3.5],3.3,2021-06-21T19:05:20+02:00,NCD_CHOL_MEANNONHDL_A
AFR,BEN,SEX_FMLE,2.7 [2.4-3.1],2.7,2021-06-21T18:52:43+02:00,NCD_CHOL_MEANNONHDL_A
EUR,SRB,SEX_MLE,4.1 [3.8-4.3],4.1,2021-06-21T18:35:01+02:00,NCD_CHOL_MEANNONHDL_A
WPR,VUT,SEX_FMLE,3.5 [3.2-3.8],3.5,2021-06-21T18:55:07+02:00,NCD_CHOL_MEANNONHDL_A
WPR,KOR,SEX_BTSX,3.5 [3.5-3.6],3.5,2021-06-21T19:06:09+02:00,NCD_CHOL_MEANNONHDL_A
EUR,POL,SEX_MLE,3.9 [3.7-4.1],3.9,2021-06-21T18:34:50+02:00,NCD_CHOL_MEANNONHDL_A
EUR,DNK,SEX_FMLE,4.3 [4.1-4.5],4.3,2021-06-21T18:53:05+02:00,NCD_CHOL_MEANNONHDL_A
EUR,IRL,SEX_FMLE,3.8 [3.7-4.0],3.8,2021-06-21T18:53:35+02:00,NCD_CHOL_MEANNONHDL_A
AFR,CMR,SEX_MLE,2.7 [2.4-3.0],2.7,2021-06-21T18:33:15+02:00,NCD_CHOL_MEANNONHDL_A
AMR,ARG,SEX_BTSX,3.9 [3.7-4.1],3.9,2021-06-21T19:04:09+02:00,NCD_CHOL_MEANNONHDL_A
AFR,ETH,SEX_MLE,2.6 [2.4-2.9],2.6,2021-06-21T18:33:41+02:00,NCD_CHOL_MEANNONHDL_A
AFR,CIV,SEX_BTSX,2.8 [2.6-3.0],2.8,2021-06-21T19:06:31+02:00,NCD_CHOL_MEANNONHDL_A
AFR,GNQ,SEX_MLE,2.8 [2.5-3.1],2.8,2021-06-21T18:33:37+02:00,NCD_CHOL_MEANNONHDL_A
AFR,SLE,SEX_FMLE,2.7 [2.4-3.0],2.7,2021-06-21T18:54:36+02:00,NCD_CHOL_MEANNONHDL_A
EUR,DEU,SEX_MLE,4.3 [4.2-4.4],4.3,2021-06-21T18:33:47+02:00,NCD_CHOL_MEANNONHDL_A
EMR,SOM,SEX_BTSX,2.9 [2.7-3.1],2.9,2021-06-21T19:06:01+02:00,NCD_CHOL_MEANNONHDL_A
AFR,MDG,SEX_MLE,2.8 [2.5-3.1],2.8,2021-06-21T18:34:19+02:00,NCD_CHOL_MEANNONHDL_A
AFR,TGO,SEX_FMLE,2.7 [2.4-3.0],2.7,2021-06-21T18:54:54+02:00,NCD_CHOL_MEANNONHDL_A
EUR,IRL,SEX_FMLE,3.4 [3.3-3.6],3.4,2021-06-21T18:53:35+02:00,NCD_CHOL_MEANNONHDL_A
WPR,LAO,SEX_FMLE,3.0 [2.7-3.2],3.0,2021-06-21T18:53:43+02:00,NCD_CHOL_MEANNONHDL_A
EMR,DJI,SEX_BTSX,3.0 [2.8-3.2],3.0,2021-06-21T19:05:38+02:00,NCD_CHOL_MEANNONHDL_A
WPR,BRN,SEX_BTSX,3.7 [3.6-3.9],3.7,2021-06-21T19:04:52+02:00,NCD_CHOL_MEANNONHDL_A
AMR,PAN,SEX_MLE,3.7 [3.4-4.0],3.7,2021-06-21T18:34:45+02:00,NCD_CHOL_MEANNONHDL_A
AFR,MWI,SEX_MLE,2.2 [1.9-2.4],2.2,2021-06-21T18:34:20+02:00,NCD_CHOL_MEANNONHDL_A
,WB_HI,SEX_FMLE,3.4 [3.4-3.4],3.4,2021-06-21T18:17:40+02:00,NCD_CHOL_MEANNONHDL_A
AFR,BEN,SEX_MLE,2.5 [2.1-2.9],2.5,2021-06-21T18:33:03+02:00,NCD_CHOL_MEANNONHDL_A
WPR,VUT,SEX_BTSX,3.4 [3.2-3.6],3.4,2021-06-21T19:05:04+02:00,NCD_CHOL_MEANNONHDL_A
EUR,RUS,SEX_FMLE,4.2 [4.1-4.4],4.2,2021-06-21T18:54:27+02:00,NCD_CHOL_MEANNONHDL_A
SEAR,THA,SEX_MLE,3.8 [3.7-4.0],3.8,2021-06-21T18:35:19+02:00,NCD_CHOL_MEANNONHDL_A
EUR,ISL,SEX_FMLE,3.7 [3.5-3.8],3.7,2021-06-21T18:53:31+02:00,NCD_CHOL_MEANNONHDL_A
EMR,EGY,SEX_FMLE,3.4 [3.3-3.6],3.4,2021-06-21T18:53:11+02:00,NCD_CHOL_MEANNONHDL_A
AMR,USA,SEX_BTSX,3.4 [3.3-3.5],3.4,2021-06-21T19:06:30+02:00,NCD_CHOL_MEANNONHDL_A
EUR,KGZ,SEX_MLE,2.9 [2.7-3.2],2.9,2021-06-21T18:34:10+02:00,NCD_CHOL_MEANNONHDL_A
AFR,LSO,SEX_MLE,2.4 [2.1-2.6],2.4,2021-06-21T18:34:14+02:00,NCD_CHOL_MEANNONHDL_A
EMR,SYR,SEX_FMLE,3.5 [3.2-3.8],3.5,2021-06-21T18:54:50+02:00,NCD_CHOL_MEANNONHDL_A
AMR,ARG,SEX_FMLE,3.8 [3.6-4.0],3.8,2021-06-21T18:52:33+02:00,NCD_CHOL_MEANNONHDL_A
EMR,OMN,SEX_MLE,3.6 [3.3-3.8],3.6,2021-06-21T18:34:43+02:00,NCD_CHOL_MEANNONHDL_A
WPR,SLB,SEX_MLE,3.5 [3.3-3.7],3.5,2021-06-21T18:35:07+02:00,NCD_CHOL_MEANNONHDL_A
AMR,ECU,SEX_BTSX,3.9 [3.8-4.0],3.9,2021-06-21T19:05:58+02:00,NCD_CHOL_MEANNONHDL_A
EMR,BHR,SEX_MLE,3.8 [3.6-4.1],3.8,2021-06-21T18:32:57+02:00,NCD_CHOL_MEANNONHDL_A
AMR,PAN,SEX_BTSX,3.8 [3.7-4.0],3.8,2021-06-21T19:06:04+02:00,NCD_CHOL_MEANNONHDL_A
,EUR,SEX_MLE,3.8 [3.7-3.8],3.8,2021-06-21T17:35:25+02:00,NCD_CHOL_MEANNONHDL_A
AMR,DOM,SEX_MLE,3.3 [3.1-3.5],3.3,2021-06-21T18:33:32+02:00,NCD_CHOL_MEANNONHDL_A
EUR,FRA,SEX_FMLE,3.8 [3.7-3.9],3.8,2021-06-21T18:53:17+02:00,NCD_CHOL_MEANNONHDL_A
EUR,DEU,SEX_MLE,4.0 [3.9-4.1],4.0,2021-06-21T18:33:47+02:00,NCD_CHOL_MEANNONHDL_A
EUR,DNK,SEX_BTSX,3.4 [3.3-3.5],3.4,2021-06-21T19:06:35+02:00,NCD_CHOL_MEANNONHDL_A
EUR,KGZ,SEX_FMLE,3.2 [2.9-3.5],3.2,2021-06-21T18:53:43+02:00,NCD_CHOL_MEANNONHDL_A
SEAR,THA,SEX_BTSX,3.9 [3.8-4.0],3.9,2021-06-21T19:05:52+02:00,NCD_CHOL_MEANNONHDL_A
EUR,POL,SEX_FMLE,3.9 [3.7-4.0],3.9,2021-06-21T18:54:23+02:00,NCD_CHOL_MEANNONHDL_A
AFR,SLE,SEX_BTSX,2.6 [2.4-2.9],2.6,2021-06-21T19:05:32+02:00,NCD_CHOL_MEANNONHDL_A
EMR,SOM,SEX_BTSX,3.0 [2.8-3.1],3.0,2021-06-21T19:06:21+02:00,NCD_CHOL_MEANNONHDL_A
WPR,NIU,SEX_BTSX,3.4 [3.2-3.6],3.4,2021-06-21T19:06:49+02:00,NCD_CHOL_MEANNONHDL_A
AFR,DZA,SEX_FMLE,3.4 [3.0-3.7],3.4,2021-06-21T18:52:30+02:00,NCD_CHOL_MEANNONHDL_A
EMR,BHR,SEX_FMLE,3.9 [3.5-4.3],3.9,2021-06-21T18:52:38+02:00,NCD_CHOL_MEANNONHDL_A
EMR,LBN,SEX_BTSX,4.1 [3.8-4.3],4.1,2021-06-21T19:04:27+02:00,NCD_CHOL_MEANNONHDL_A
AMR,LCA,SEX_FMLE,3.2 [2.9-3.5],3.2,2021-06-21T18:54:30+02:00,NCD_CHOL_MEANNONHDL_A
EUR,SVK,SEX_MLE,3.8 [3.7-3.9],3.8,2021-06-21T18:35:05+02:00,NCD_CHOL_MEANNONHDL_A
WPR,MYS,SEX_FMLE,3.8 [3.6-4.0],3.8,2021-06-21T18:53:53+02:00,NCD_CHOL_MEANNONHDL_A
EUR,POL,SEX_MLE,4.0 [3.9-4.1],4.0,2021-06-21T18:34:50+02:00,NCD_CHOL_MEANNONHDL_A
EUR,MKD,SEX_BTSX,4.0 [3.8-4.1],4.0,2021-06-21T19:05:46+02:00,NCD_CHOL_MEANNONHDL_A
AFR,BFA,SEX_FMLE,2.5 [2.2-2.7],2.5,2021-06-21T18:52:49+02:00,NCD_CHOL_MEANNONHDL_A
EMR,IRQ,SEX_FMLE,3.7 [3.5-3.9],3.7,2021-06-21T18:53:34+02:00,NCD_CHOL_MEANNONHDL_A
AMR,BLZ,SEX_MLE,3.2 [3.0-3.5],3.2,2021-06-21T18:33:02+02:00,NCD_CHOL_MEANNONHDL_A
EMR,LBY,SEX_FMLE,3.4 [3.1-3.6],3.4,2021-06-21T18:53:48+02:00,NCD_CHOL_MEANNONHDL_A
SEAR,IND,SEX_BTSX,3.4 [3.3-3.5],3.4,2021-06-21T19:05:34+02:00,NCD_CHOL_MEANNONHDL_A
WPR,MNG,SEX_BTSX,3.5 [3.4-3.7],3.5,2021-06-21T19:04:54+02:00,NCD_CHOL_MEANNONHDL_A
AFR,COG,SEX_BTSX,2.9 [2.6-3.1],2.9,2021-06-21T19:06:27+02:00,NCD_CHOL_MEANNONHDL_A
,WPR,SEX_MLE,3.4 [3.3-3.6],3.4,2021-06-21T17:35:26+02:00,NCD_CHOL_MEANNONHDL_A
AFR,AGO,SEX_BTSX,2.5 [2.1-2.8],2.5,2021-06-21T19:04:13+02:00,NCD_CHOL_MEANNONHDL_A
EUR,UZB,SEX_BTSX,3.2 [3.1-3.4],3.2,2021-06-21T19:04:52+02:00,NCD_CHOL_MEANNONHDL_A
EUR,CZE,SEX_FMLE,4.2 [4.1-4.3],4.2,2021-06-21T18:53:04+02:00,NCD_CHOL_MEANNONHDL_A
WPR,CHN,SEX_MLE,3.2 [3.1-3.3],3.2,2021-06-21T18:33:20+02:00,NCD_CHOL_MEANNONHDL_A
EUR,AUT,SEX_FMLE,4.0 [3.8-4.1],4.0,2021-06-21T18:52:36+02:00,NCD_CHOL_MEANNONHDL_A
AFR,BDI,SEX_MLE,2.7 [2.4-3.0],2.7,2021-06-21T18:33:12+02:00,NCD_CHOL_MEANNONHDL_A
AFR,GAB,SEX_MLE,3.0 [2.7-3.3],3.0,2021-06-21T18:33:44+02:00,NCD_CHOL_MEANNONHDL_A
,SEAR,SEX_MLE,3.3 [3.2-3.4],3.3,2021-06-21T17:35:23+02:00,NCD_CHOL_MEANNONHDL_A
AMR,BRA,SEX_BTSX,3.7 [3.6-3.8],3.7,2021-06-21T19:05:13+02:00,NCD_CHOL_MEANNONHDL_A
EUR,PRT,SEX_BTSX,3.7 [3.5-3.8],3.7,2021-06-21T19:06:21+02:00,NCD_CHOL_MEANNONHDL_A
EUR,RUS,SEX_MLE,4.0 [3.9-4.2],4.0,2021-06-21T18:34:53+02:00,NCD_CHOL_MEANNONHDL_A
WPR,MYS,SEX_MLE,4.2 [4.0-4.4],4.2,2021-06-21T18:34:21+02:00,NCD_CHOL_MEANNONHDL_A
AFR,MRT,SEX_MLE,2.9 [2.6-3.1],2.9,2021-06-21T18:34:25+02:00,NCD_CHOL_MEANNONHDL_A
AMR,LCA,SEX_BTSX,3.3 [3.1-3.5],3.3,2021-06-21T19:06:04+02:00,NCD_CHOL_MEANNONHDL_A
WPR,SLB,SEX_MLE,3.3 [3.0-3.6],3.3,2021-06-21T18:35:07+02:00,NCD_CHOL_MEANNONHDL_A
EUR,MKD,SEX_BTSX,4.2 [4.0-4.4],4.2,2021-06-21T19:04:58+02:00,NCD_CHOL_MEANNONHDL_A
EUR,TJK,SEX_FMLE,2.9 [2.7-3.2],2.9,2021-06-21T18:54:51+02:00,NCD_CHOL_MEANNONHDL_A
EMR,KWT,SEX_MLE,4.2 [4.0-4.3],4.2,2021-06-21T18:34:09+02:00,NCD_CHOL_MEANNONHDL_A
EUR,IRL,SEX_BTSX,3.4 [3.3-3.5],3.4,2021-06-21T19:06:32+02:00,NCD_CHOL_MEANNONHDL_A
EUR,ARM,SEX_MLE,3.3 [3.1-3.6],3.3,2021-06-21T18:32:53+02:00,NCD_CHOL_MEANNONHDL_A
,SEAR,SEX_BTSX,3.3 [3.2-3.4],3.3,2021-06-21T17:36:26+02:00,NCD_CHOL_MEANNONHDL_A
,WPR,SEX_FMLE,3.1 [3.0-3.2],3.1,2021-06-21T17:35:58+02:00,NCD_CHOL_MEANNONHDL_A
EUR,UZB,SEX_FMLE,3.3 [3.0-3.5],3.3,2021-06-21T18:55:06+02:00,NCD_CHOL_MEANNONHDL_A
WPR,VUT,SEX_MLE,3.3 [2.9-3.7],3.3,2021-06-21T18:35:32+02:00,NCD_CHOL_MEANNONHDL_A
WPR,NRU,SEX_FMLE,4.2 [3.9-4.5],4.2,2021-06-21T18:54:07+02:00,NCD_CHOL_MEANNONHDL_A
SEAR,LKA,SEX_FMLE,3.4 [3.1-3.7],3.4,2021-06-21T18:54:44+02:00,NCD_CHOL_MEANNONHDL_A
AFR,COG,SEX_FMLE,3.0 [2.6-3.4],3.0,2021-06-21T18:52:59+02:00,NCD_CHOL_MEANNONHDL_A
AMR,VCT,SEX_BTSX,3.2 [3.0-3.3],3.2,2021-06-21T19:06:01+02:00,NCD_CHOL_MEANNONHDL_A
AFR,BWA,SEX_FMLE,2.8 [2.6-3.0],2.8,2021-06-21T18:52:46+02:00,NCD_CHOL_MEANNONHDL_A
WPR,MYS,SEX_FMLE,3.9 [3.7-4.0],3.9,2021-06-21T18:53:53+02:00,NCD_CHOL_MEANNONHDL_A
AFR,GNQ,SEX_BTSX,2.7 [2.4-2.9],2.7,2021-06-21T19:05:09+02:00,NCD_CHOL_MEANNONHDL_A
WPR,COK,SEX_BTSX,4.0 [3.8-4.2],4.0,2021-06-21T19:04:44+02:00,NCD_CHOL_MEANNONHDL_A
AMR,VEN,SEX_FMLE,3.8 [3.5-4.1],3.8,2021-06-21T18:55:08+02:00,NCD_CHOL_MEANNONHDL_A
EUR,POL,SEX_FMLE,3.9 [3.7-4.0],3.9,2021-06-21T18:54:23+02:00,NCD_CHOL_MEANNONHDL_A
EMR,BHR,SEX_FMLE,3.9 [3.6-4.1],3.9,2021-06-21T18:52:38+02:00,NCD_CHOL_MEANNONHDL_A
AFR,NGA,SEX_BTSX,2.1 [1.8-2.4],2.1,2021-06-21T19:04:16+02:00,NCD_CHOL_MEANNONHDL_A
