ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
AFR,SEN,SEX_FMLE,4.1 [3.6-4.5],4.1,2021-06-21T18:48:53+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,PAN,SEX_BTSX,4.8 [4.6-5.1],4.8,2021-06-21T19:03:17+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,PRT,SEX_BTSX,5.1 [4.9-5.3],5.1,2021-06-21T19:02:55+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,NRU,SEX_MLE,4.3 [3.8-4.9],4.3,2021-06-21T18:28:09+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,CAN,SEX_FMLE,5.4 [5.2-5.6],5.4,2021-06-21T18:45:26+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,NIU,SEX_MLE,4.6 [4.2-5.0],4.6,2021-06-21T18:28:15+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,MRT,SEX_MLE,4.1 [3.7-4.4],4.1,2021-06-21T18:27:57+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,KGZ,SEX_BTSX,4.3 [4.0-4.6],4.3,2021-06-21T19:02:54+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,LBR,SEX_BTSX,4.0 [3.6-4.4],4.0,2021-06-21T19:01:43+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,HTI,SEX_FMLE,4.4 [3.8-5.0],4.4,2021-06-21T18:47:33+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,HND,SEX_BTSX,4.6 [4.2-5.0],4.6,2021-06-21T19:01:23+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,NIC,SEX_FMLE,4.6 [4.1-5.1],4.6,2021-06-21T18:48:24+02:00,NCD_CHOL_MEANTOTALCHOL_A
EMR,DJI,SEX_FMLE,4.5 [4.0-5.0],4.5,2021-06-21T18:46:40+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,FSM,SEX_BTSX,4.3 [4.1-4.5],4.3,2021-06-21T19:03:41+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,AUS,SEX_BTSX,5.1 [5.0-5.2],5.1,2021-06-21T19:03:10+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,MUS,SEX_FMLE,5.0 [4.7-5.2],5.0,2021-06-21T18:48:10+02:00,NCD_CHOL_MEANTOTALCHOL_A
SEAR,TLS,SEX_MLE,4.1 [3.7-4.5],4.1,2021-06-21T18:29:10+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,MKD,SEX_BTSX,5.0 [4.7-5.4],5.0,2021-06-21T19:03:54+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,COD,SEX_FMLE,4.1 [3.5-4.6],4.1,2021-06-21T18:46:43+02:00,NCD_CHOL_MEANTOTALCHOL_A
AMR,BOL,SEX_FMLE,4.6 [4.2-4.9],4.6,2021-06-21T18:45:16+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,SEN,SEX_BTSX,4.0 [3.5-4.5],4.0,2021-06-21T19:01:20+02:00,NCD_CHOL_MEANTOTALCHOL_A
,WB_LI,SEX_BTSX,4.1 [3.9-4.2],4.1,2021-06-21T18:18:01+02:00,NCD_CHOL_MEANTOTALCHOL_A
AFR,MRT,SEX_FMLE,4.2 [3.8-4.6],4.2,2021-06-21T18:48:09+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,MHL,SEX_MLE,4.8 [4.4-5.2],4.8,2021-06-21T18:27:56+02:00,NCD_CHOL_MEANTOTALCHOL_A
WPR,SLB,SEX_FMLE,4.6 [4.0-5.1],4.6,2021-06-21T18:48:59+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,CYP,SEX_MLE,5.1 [4.6-5.6],5.1,2021-06-21T18:26:52+02:00,NCD_CHOL_MEANTOTALCHOL_A
EUR,AZE,SEX_MLE,4.4 [4.0-4.8],4.4,2021-06-21T18:26:12+02:00,NCD_CHOL_MEANTOTALCHOL_A
