ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
WPR,FSM,SEX_FMLE,5.30 [4.03-6.58],5.30213,2020-06-03T11:13:01+02:00,NCD_GLUC_01
AMR,BRB,SEX_FMLE,5.33 [4.76-5.91],5.32815,2020-06-03T11:12:33+02:00,NCD_GLUC_01
AMR,BRB,SEX_FMLE,5.79 [4.29-7.27],5.78956,2020-06-03T11:12:32+02:00,NCD_GLUC_01
AFR,SLE,SEX_FMLE,5.05 [3.94-6.15],5.04698,2020-06-03T11:14:12+02:00,NCD_GLUC_01
EUR,SRB,SEX_FMLE,4.93 [4.05-5.85],4.9346,2020-06-03T11:14:14+02:00,NCD_GLUC_01
AFR,GNQ,SEX_MLE,5.84 [5.00-6.70],5.83832,2020-05-29T16:02:17+02:00,NCD_GLUC_01
AFR,GMB,SEX_FMLE,5.23 [3.88-6.60],5.23046,2020-06-03T11:13:06+02:00,NCD_GLUC_01
AFR,ETH,SEX_FMLE,4.90 [3.99-5.82],4.8972,2020-06-03T11:12:58+02:00,NCD_GLUC_01
EUR,ESP,SEX_FMLE,5.07 [4.80-5.35],5.074,2020-06-03T11:12:56+02:00,NCD_GLUC_01
AMR,LCA,SEX_MLE,4.93 [4.26-5.58],4.93043,2020-05-29T16:02:45+02:00,NCD_GLUC_01
AMR,BRA,SEX_MLE,5.24 [4.97-5.51],5.24068,2020-05-29T16:01:38+02:00,NCD_GLUC_01
EUR,SRB,SEX_FMLE,5.01 [3.88-6.13],5.01169,2020-06-03T11:14:13+02:00,NCD_GLUC_01
EUR,TJK,SEX_FMLE,5.12 [4.27-5.96],5.11847,2020-06-03T11:14:22+02:00,NCD_GLUC_01
AMR,HTI,SEX_FMLE,4.37 [3.39-5.35],4.37297,2020-06-03T11:13:12+02:00,NCD_GLUC_01
WPR,AUS,SEX_FMLE,5.15 [4.91-5.39],5.14958,2020-06-03T11:12:20+02:00,NCD_GLUC_01
EMR,IRN,SEX_FMLE,4.90 [4.49-5.32],4.90373,2020-06-03T11:13:16+02:00,NCD_GLUC_01
EMR,JOR,SEX_FMLE,5.61 [5.05-6.17],5.61073,2020-06-03T11:13:21+02:00,NCD_GLUC_01
AMR,KNA,SEX_MLE,5.61 [4.65-6.54],5.61016,2020-05-29T16:02:39+02:00,NCD_GLUC_01
EMR,SYR,SEX_MLE,5.30 [4.66-5.93],5.29704,2020-05-29T16:03:39+02:00,NCD_GLUC_01
WPR,VUT,SEX_MLE,5.42 [4.95-5.89],5.4249,2020-05-29T16:03:55+02:00,NCD_GLUC_01
AFR,COD,SEX_FMLE,4.91 [3.99-5.81],4.91126,2020-06-03T11:12:41+02:00,NCD_GLUC_01
EUR,BGR,SEX_FMLE,5.00 [4.19-5.84],4.99741,2020-06-03T11:12:27+02:00,NCD_GLUC_01
EUR,GEO,SEX_FMLE,6.08 [5.69-6.48],6.07967,2020-06-03T11:13:03+02:00,NCD_GLUC_01
EUR,ISL,SEX_MLE,5.61 [4.96-6.26],5.61392,2020-05-29T16:02:30+02:00,NCD_GLUC_01
EUR,BEL,SEX_MLE,5.26 [4.60-5.90],5.26214,2020-05-29T16:01:28+02:00,NCD_GLUC_01
EMR,IRN,SEX_FMLE,4.83 [4.20-5.48],4.8342,2020-06-03T11:13:17+02:00,NCD_GLUC_01
EUR,TKM,SEX_MLE,5.23 [4.07-6.36],5.23459,2020-05-29T16:03:42+02:00,NCD_GLUC_01
EUR,RUS,SEX_MLE,5.33 [4.63-6.01],5.33289,2020-05-29T16:03:24+02:00,NCD_GLUC_01
EUR,ISL,SEX_FMLE,5.22 [4.38-6.08],5.21874,2020-06-03T11:13:18+02:00,NCD_GLUC_01
AFR,DZA,SEX_FMLE,5.36 [4.98-5.74],5.36127,2020-06-03T11:12:53+02:00,NCD_GLUC_01
WPR,IDN,SEX_FMLE,5.04 [4.38-5.71],5.04257,2020-06-03T11:13:13+02:00,NCD_GLUC_01
EMR,AFG,SEX_FMLE,4.96 [4.15-5.77],4.9624,2020-06-03T11:12:14+02:00,NCD_GLUC_01
EUR,SVK,SEX_FMLE,4.98 [4.16-5.83],4.98363,2020-06-03T11:14:16+02:00,NCD_GLUC_01
EUR,AND,SEX_MLE,5.50 [4.68-6.33],5.50258,2020-05-29T16:01:21+02:00,NCD_GLUC_01
AMR,CAN,SEX_FMLE,5.09 [4.49-5.67],5.08654,2020-06-03T11:12:36+02:00,NCD_GLUC_01
WPR,WSM,SEX_FMLE,5.56 [5.09-6.02],5.56266,2020-06-03T11:14:36+02:00,NCD_GLUC_01
WPR,KHM,SEX_FMLE,4.47 [3.74-5.20],4.4724,2020-06-03T11:13:25+02:00,NCD_GLUC_01
AFR,GIN,SEX_FMLE,4.77 [4.29-5.27],4.77469,2020-06-03T11:13:04+02:00,NCD_GLUC_01
WPR,MYS,SEX_MLE,5.61 [5.19-6.03],5.60658,2020-05-29T16:03:04+02:00,NCD_GLUC_01
AFR,BDI,SEX_MLE,4.29 [3.51-5.06],4.28732,2020-05-29T16:01:27+02:00,NCD_GLUC_01
AMR,DOM,SEX_FMLE,4.92 [4.33-5.49],4.91819,2020-06-03T11:12:52+02:00,NCD_GLUC_01
SEAR,NPL,SEX_FMLE,4.88 [4.10-5.68],4.88499,2020-06-03T11:13:54+02:00,NCD_GLUC_01
AMR,URY,SEX_FMLE,5.19 [4.38-5.96],5.19148,2020-06-03T11:14:31+02:00,NCD_GLUC_01
EMR,SDN,SEX_MLE,5.24 [4.62-5.84],5.2371,2020-05-29T16:03:27+02:00,NCD_GLUC_01
AFR,COD,SEX_FMLE,4.82 [3.50-6.14],4.82209,2020-06-03T11:12:41+02:00,NCD_GLUC_01
EUR,ESP,SEX_MLE,5.51 [5.27-5.75],5.50981,2020-05-29T16:02:05+02:00,NCD_GLUC_01
AMR,CHL,SEX_MLE,5.45 [5.05-5.87],5.45099,2020-05-29T16:01:45+02:00,NCD_GLUC_01
WPR,WSM,SEX_MLE,5.51 [4.78-6.20],5.50536,2020-05-29T16:03:56+02:00,NCD_GLUC_01
AFR,GIN,SEX_FMLE,4.93 [4.06-5.79],4.9311,2020-06-03T11:13:04+02:00,NCD_GLUC_01
EMR,SAU,SEX_MLE,5.96 [5.61-6.31],5.96031,2020-05-29T16:03:26+02:00,NCD_GLUC_01
AFR,BEN,SEX_FMLE,5.12 [3.70-6.57],5.11984,2020-06-03T11:12:24+02:00,NCD_GLUC_01
WPR,MYS,SEX_MLE,5.32 [4.95-5.70],5.32328,2020-05-29T16:03:04+02:00,NCD_GLUC_01
EUR,DEU,SEX_FMLE,5.04 [3.81-6.23],5.0376,2020-06-03T11:12:48+02:00,NCD_GLUC_01
EMR,ARE,SEX_FMLE,5.29 [4.02-6.46],5.28629,2020-06-03T11:12:18+02:00,NCD_GLUC_01
AMR,CRI,SEX_MLE,4.89 [4.46-5.32],4.89043,2020-05-29T16:01:53+02:00,NCD_GLUC_01
AFR,RWA,SEX_MLE,4.46 [3.90-5.04],4.46358,2020-05-29T16:03:25+02:00,NCD_GLUC_01
EUR,CYP,SEX_FMLE,4.98 [4.23-5.76],4.97739,2020-06-03T11:12:47+02:00,NCD_GLUC_01
WPR,MHL,SEX_MLE,6.68 [6.24-7.16],6.68376,2020-05-29T16:02:55+02:00,NCD_GLUC_01
EUR,SWE,SEX_FMLE,4.79 [4.04-5.53],4.78844,2020-06-03T11:14:17+02:00,NCD_GLUC_01
WPR,TON,SEX_FMLE,6.55 [6.24-6.86],6.55386,2020-06-03T11:14:24+02:00,NCD_GLUC_01
EUR,GBR,SEX_FMLE,5.17 [4.34-5.99],5.17137,2020-06-03T11:13:02+02:00,NCD_GLUC_01
SEAR,LKA,SEX_MLE,4.95 [4.39-5.50],4.95402,2020-05-29T16:02:46+02:00,NCD_GLUC_01
AFR,SWZ,SEX_MLE,5.28 [4.58-5.94],5.27641,2020-05-29T16:03:37+02:00,NCD_GLUC_01
AFR,MDG,SEX_FMLE,5.00 [3.77-6.31],5.00016,2020-06-03T11:13:38+02:00,NCD_GLUC_01
WPR,VUT,SEX_MLE,6.51 [5.89-7.18],6.51288,2020-05-29T16:03:56+02:00,NCD_GLUC_01
AMR,PAN,SEX_MLE,5.30 [4.68-5.91],5.2998,2020-05-29T16:03:15+02:00,NCD_GLUC_01
EUR,UKR,SEX_FMLE,5.24 [4.26-6.22],5.23899,2020-06-03T11:14:30+02:00,NCD_GLUC_01
WPR,AUS,SEX_MLE,5.37 [4.96-5.79],5.37302,2020-05-29T16:01:25+02:00,NCD_GLUC_01
EUR,ARM,SEX_MLE,5.77 [4.76-6.79],5.77406,2020-05-29T16:01:24+02:00,NCD_GLUC_01
SEAR,LKA,SEX_FMLE,5.09 [4.69-5.51],5.09258,2020-06-03T11:13:32+02:00,NCD_GLUC_01
EMR,MAR,SEX_FMLE,4.80 [3.97-5.57],4.79722,2020-06-03T11:13:36+02:00,NCD_GLUC_01
EUR,LVA,SEX_MLE,5.40 [4.69-6.10],5.39511,2020-05-29T16:02:50+02:00,NCD_GLUC_01
AMR,GTM,SEX_MLE,4.84 [3.77-5.86],4.84158,2020-05-29T16:02:19+02:00,NCD_GLUC_01
EMR,KWT,SEX_MLE,5.99 [5.57-6.43],5.99208,2020-05-29T16:02:41+02:00,NCD_GLUC_01
EUR,ROU,SEX_FMLE,5.00 [4.17-5.87],5.00274,2020-06-03T11:14:06+02:00,NCD_GLUC_01
EMR,SAU,SEX_MLE,6.32 [5.70-6.97],6.31825,2020-05-29T16:03:26+02:00,NCD_GLUC_01
