ParentLocationCode,SpatialDim,Dim1,Value,NumericValue,Date,IndicatorCode
AFR,GMB,SEX_MLE,17.9,17.9,2023-12-07T16:58:56+01:00,Yth_curr_tob_use
AFR,SYC,SEX_MLE,27.2,27.2,2023-12-07T16:59:20+01:00,Yth_curr_tob_use
WPR,PNG,SEX_BTSX,33.3,33.3,2023-12-07T16:59:19+01:00,Yth_curr_tob_use
AMR,BHS,SEX_MLE,16.1,16.1,2023-12-07T16:59:20+01:00,Yth_curr_tob_use
AMR,SLV,SEX_FMLE,0.9,0.9,2023-12-07T16:59:12+01:00,Yth_curr_tob_use
AFR,SLE,SEX_MLE,14.5,14.5,2023-12-07T16:59:12+01:00,Yth_curr_tob_use
AFR,MRT,SEX_MLE,19.6,19.6,2023-12-07T16:58:57+01:00,Yth_curr_tob_use
AFR,COG,SEX_FMLE,12.1,12.1,2023-12-07T16:58:58+01:00,Yth_curr_tob_use
EUR,CZE,SEX_FMLE,Data not available,,2023-12-07T16:59:33+01:00,Yth_curr_tob_use
AMR,CHL,SEX_BTSX,Data not available,,2023-12-07T16:59:39+01:00,Yth_curr_tob_use
EMR,DJI,SEX_FMLE,11.1,11.1,2023-12-07T16:59:05+01:00,Yth_curr_tob_use
EMR,PSE,SEX_MLE,43.3,43.3,2023-12-07T16:59:19+01:00,Yth_curr_tob_use
SEAR,BTN,SEX_BTSX,22.2,22.2,2023-12-07T16:59:11+01:00,Yth_curr_tob_use
AFR,CAF,SEX_BTSX,32.4,32.4,2023-12-07T16:59:06+01:00,Yth_curr_tob_use
EUR,NLD,SEX_FMLE,Data not available,,2023-12-07T16:59:34+01:00,Yth_curr_tob_use
AFR,MWI,SEX_FMLE,11.4,11.4,2023-12-07T16:59:20+01:00,Yth_curr_tob_use
WPR,JPN,SEX_FMLE,Data not available,,2023-12-07T16:59:37+01:00,Yth_curr_tob_use
AFR,ZMB,SEX_FMLE,25.8,25.8,2023-12-07T16:59:13+01:00,Yth_curr_tob_use
AMR,PAN,SEX_MLE,9.1,9.1,2023-12-07T16:59:20+01:00,Yth_curr_tob_use
EMR,IRQ,SEX_BTSX,15.7,15.7,2023-12-07T16:59:20+01:00,Yth_curr_tob_use
AFR,ZAF,SEX_FMLE,Data not available,,2023-12-07T16:59:45+01:00,Yth_curr_tob_use
WPR,SGP,SEX_FMLE,Data not available,,2023-12-07T16:59:31+01:00,Yth_curr_tob_use
